case_id,provider_id,subtype_code,status,created_date,last_updated_date
C1001,P001,COMPLAINT,OPEN,2026-06-02,2026-06-10
C1002,P002,COMPLAINT,CLOSED,2026-06-03,2026-06-15
C1003,P001,NOTIFICATION,OPEN,2026-06-04,2026-06-04
C1004,P003,COMPLAINT,CLOSED,2026-06-05,2026-06-20
C1005,P004,REVIEW,OPEN,2026-06-06,2026-06-06
C1006,P002,NOTIFICATION,CLOSED,2026-06-07,2026-06-18
C1007,P099,COMPLAINT,OPEN,2026-06-08,2026-06-08
C1008,P003,,OPEN,2026-06-09,2026-06-09
C1009,P001,REVIEW,CLOSED,2026-06-10,2026-06-22
C1010,P006,SANCTION,OPEN,2026-06-11,2026-06-11
C1010,P006,SANCTION,OPEN,2026-06-11,2026-06-11
C1011,P002,COMPLAINT,OPEN,,2026-06-12
